Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
7/1/1959,120.2,120.3,119.6,119.7,,119.7,3952,13997
7/2/1959,119.6,120,119.2,119.6,,119.6,2223,14047
7/6/1959,119.4,119.5,117.7,118,,118,3121,14206
7/7/1959,118.1,118.5,118,118.3,,118.3,3540,14142
7/8/1959,118.4,118.5,117.3,117.3,,117.3,2922,14353
7/9/1959,117.2,118.3,116.6,118.2,,118.2,3479,15051
7/10/1959,118.6,119.4,118.4,119,,119,3420,15370
7/13/1959,118.3,118.4,117.6,118.1,,118.1,3451,15846
7/14/1959,118.3,119.7,118.2,119.6,,119.6,1983,15535
7/15/1959,119.5,119.7,119.1,119.3,,119.3,3387,15605
7/16/1959,119.2,119.5,118.7,119.3,,119.3,1646,15506
7/17/1959,119.2,119.6,119.2,119.4,,119.4,2065,15474
7/20/1959,119,119,118.2,118.7,,118.7,1881,15422
7/21/1959,118.6,119.4,118.6,119.2,,119.2,3636,15516
7/22/1959,119.4,119.7,119,119.5,,119.5,2237,15654
7/23/1959,119.2,119.5,118.6,119.4,,119.4,3001,16353
7/24/1959,119.5,120.7,119.5,120.5,,120.5,2466,16894
7/27/1959,120.5,120.7,119.4,119.5,,119.5,3263,16531
7/28/1959,119.2,119.2,118.4,118.6,,118.6,3255,16823
7/29/1959,118.1,119.5,118.1,119.3,,119.3,2392,16675
7/30/1959,119.4,119.6,119.1,119.3,,119.3,2732,16352
7/31/1959,119.2,120,119.2,119.7,,119.7,1868,16381
8/3/1959,119.3,120.2,119.1,119.7,,119.7,1910,16053
8/4/1959,119.7,120.6,119.5,120.4,,120.4,1820,16265
8/5/1959,120.6,121.2,120.3,120.5,,120.5,2885,16247
8/6/1959,120.4,120.4,119.4,120.1,,120.1,2922,15736
8/7/1959,119.6,120,118.7,118.7,,118.7,2828,15036
8/10/1959,118.6,119.2,118.5,118.6,,118.6,2706,15097
8/11/1959,118.6,119.2,118.6,118.7,,118.7,2151,15439
8/12/1959,118.5,119.1,118.4,118.7,,118.7,1836,15420
8/13/1959,118.7,119.4,118.7,119.3,,119.3,1411,15627
8/14/1959,119.4,120.3,119.4,120.1,,120.1,1711,15347
8/17/1959,120.3,120.4,119.4,119.4,,119.4,2346,14653
8/18/1959,119.6,120,119.4,119.7,,119.7,2978,14351
8/19/1959,120,120.1,119.6,119.6,,119.6,1290,14084
8/20/1959,119.6,119.7,119.5,119.6,,119.6,1672,13600
8/21/1959,119.7,119.7,118.7,118.7,,118.7,1523,13006
8/24/1959,118.7,119,118.1,118.4,,118.4,1909,12589
8/25/1959,118.4,118.4,118.1,118.3,,118.3,1865,12372
8/26/1959,118.3,118.4,117.1,117.2,,117.2,1076,11981
8/27/1959,117.2,117.3,116.2,117,,117,3389,11502
8/28/1959,116.5,116.7,116.2,116.6,,116.6,3308,10766
8/31/1959,116.4,118,116.2,117.7,,117.7,2865,10008
9/1/1959,117.6,118.7,117.6,118.6,,118.6,2223,9725
9/2/1959,118.6,119.2,118.5,119,,119,1793,9514
9/3/1959,119,119,118.2,118.7,,118.7,1733,9156
9/4/1959,118.6,118.7,118.4,118.5,,118.5,1316,8959
9/8/1959,118.4,118.4,117,117.1,,117.1,684,8879
9/9/1959,116.7,117.4,116.5,117.4,,117.4,2104,8969
9/10/1959,117.1,118,117.1,117.5,,117.5,1214,8774
9/11/1959,117,117.4,116.4,116.5,,116.5,1492,8548
9/14/1959,116.2,116.2,114.5,114.5,,114.5,2383,8313
9/15/1959,114.4,114.5,113.2,113.3,,113.3,3947,6683
9/16/1959,113.6,114.4,113.5,114.3,,114.3,2176,6318
9/17/1959,114.3,114.6,113.4,114.5,,114.5,1747,5828
9/18/1959,114.3,115.1,114.2,114.6,,114.6,1132,5471
9/21/1959,114.4,114.7,111.4,113,,113,2630,4424
9/22/1959,109.1,109.4,109.1,109.3,,109.3,3370,27437
9/23/1959,109.3,110.2,109.3,110.2,,110.2,3336,27607
9/24/1959,110.6,110.7,110.3,110.3,,110.3,2683,27780
9/25/1959,110.2,110.2,109.5,109.6,,109.6,3593,28383
