year,Frequency,data_type,Commodity,Geography,Unit,value
1975,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,558000000
1976,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,633200000
1977,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1135600000
1978,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1435900000
1979,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1709500000
1980,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,2034300000
1981,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1392100000
1982,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,2536600000
1983,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,3523100000
1984,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1006300000
1985,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1648200000
1986,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,4039522000
1987,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,4881693000
1988,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,4259086000
1989,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1930428000
1990,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1344457000
1991,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1521245000
1992,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1100311000
1993,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,2112981000
1994,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,850143000
1995,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1557840000
1996,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,425942000
1997,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,883161000
1998,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1307803000
1999,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1786977000
2000,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1717549000
2001,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1899108000
2002,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1596426000
2003,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1086673000
2004,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,958091000
2005,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,2113972000
2006,MY Sep-Aug,Beginning stocks,Corn,United States,Million bushels,1967161000
