year,SeriesName
2017,110.0670089
2016,110.0670089
2015,108.695722
2014,108.5669321
2013,106.8338489
2012,105.2915045
2011,103.1568416
2010,100
2009,98.38641997
2008,98.73747739
2007,95.08699238
2006,92.44970508
2005,89.56053237
2004,86.62167812
2003,84.36307882
2002,82.49046688
2001,81.20256846
2000,78.97072076
1999,76.39110227
1998,74.75543306
1997,73.61275761
1996,71.93122852
1995,69.88282035
1994,67.9758135
1993,66.24842452
1992,64.34906098
1991,62.45734075
1990,59.91976049
1989,56.8509699
1988,54.23313484
1987,52.14268844
1986,50.26243319
1985,49.3452355
1984,47.64841978
1983,45.67644476
1982,44.25478835
1981,41.68663482
1980,37.78854466
1979,33.2911235
1978,29.92029039
1977,27.7947007
1976,26.10162896
1975,24.68541975
1974,22.61979567
1973,20.37172303
1972,19.17879004
1971,18.56509938
1970,17.80723607
1969,16.81588961
1968,15.95212958
1967,15.30654231
1966,14.89316233
1965,14.46064438
1964,14.22333364
1963,14.03960921
1962,13.87119514
1961,13.71809144
1960,13.57216597
