Program,Year,Period,Week Ending,Geo Level,State,state_id,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,1979,WEEK #16,4/22/1979,STATE,GEORGIA,13,,,,,,,0,,CORN,"CORN - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,91,
SURVEY,1979,WEEK #16,4/22/1979,STATE,KENTUCKY,21,,,,,,,0,,CORN,"CORN - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,5,
SURVEY,1979,WEEK #16,4/22/1979,STATE,MISSOURI,29,,,,,,,0,,CORN,"CORN - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,3,
SURVEY,1979,WEEK #16,4/22/1979,STATE,NORTH CAROLINA,37,,,,,,,0,,CORN,"CORN - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,59,
SURVEY,1979,WEEK #16,4/22/1979,STATE,VIRGINIA,51,,,,,,,0,,CORN,"CORN - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,20,
SURVEY,1979,WEEK #17,4/29/1979,STATE,GEORGIA,13,,,,,,,0,,CORN,"CORN - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,94,
SURVEY,1979,WEEK #17,4/29/1979,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,1,
SURVEY,1979,WEEK #17,4/29/1979,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,10,
SURVEY,1979,WEEK #17,4/29/1979,STATE,KENTUCKY,21,,,,,,,0,,CORN,"CORN - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,9,
SURVEY,1979,WEEK #17,4/29/1979,STATE,MICHIGAN,26,,,,,,,0,,CORN,"CORN - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,1,
SURVEY,1979,WEEK #17,4/29/1979,STATE,MISSOURI,29,,,,,,,0,,CORN,"CORN - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,5,
SURVEY,1979,WEEK #17,4/29/1979,STATE,NORTH CAROLINA,37,,,,,,,0,,CORN,"CORN - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,82,
SURVEY,1979,WEEK #17,4/29/1979,STATE,OHIO,39,,,,,,,0,,CORN,"CORN - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,10,
SURVEY,1979,WEEK #17,4/29/1979,STATE,PENNSYLVANIA,42,,,,,,,0,,CORN,"CORN - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,5,
SURVEY,1979,WEEK #17,4/29/1979,STATE,VIRGINIA,51,,,,,,,0,,CORN,"CORN - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,37,
SURVEY,1979,WEEK #18,5/6/1979,STATE,COLORADO,8,,,,,,,0,,CORN,"CORN - PROGRESS, MEASURED IN PCT PLANTED",TOTAL,NOT SPECIFIED,33,
